Combination_Index,C,gamma,epsilon,R2
262,0.03162277660168379,0.0006158482110660267,0.1,-0.020311869970696117
263,0.03162277660168379,0.0006158482110660267,0.2,-0.020311869970696117
264,0.03162277660168379,0.0006158482110660267,0.5,-0.02031155445305055
265,0.03162277660168379,0.0011288378916846883,0.001,-0.019962986537176874
266,0.03162277660168379,0.0011288378916846883,0.01,-0.019962986537176874
267,0.03162277660168379,0.0011288378916846883,0.05,-0.019962986537176874
268,0.03162277660168379,0.0011288378916846883,0.1,-0.019962986537176874
269,0.03162277660168379,0.0011288378916846883,0.2,-0.019962986537176874
270,0.03162277660168379,0.0011288378916846883,0.5,-0.019962419035498113
271,0.03162277660168379,0.00206913808111479,0.001,-0.01936166646508708
272,0.03162277660168379,0.00206913808111479,0.01,-0.01936166646508708
273,0.03162277660168379,0.00206913808111479,0.05,-0.01936166646508708
274,0.03162277660168379,0.00206913808111479,0.1,-0.01936166646508708
275,0.03162277660168379,0.00206913808111479,0.2,-0.01936166646508708
276,0.03162277660168379,0.00206913808111479,0.5,-0.01936166646508708
277,0.03162277660168379,0.00379269019073225,0.001,-0.018373885945382584
278,0.03162277660168379,0.00379269019073225,0.01,-0.018373885945382584
279,0.03162277660168379,0.00379269019073225,0.05,-0.018373885945382584
280,0.03162277660168379,0.00379269019073225,0.1,-0.018373885945382584
281,0.03162277660168379,0.00379269019073225,0.2,-0.018373885945382584
282,0.03162277660168379,0.00379269019073225,0.5,-0.018373885945382584
283,0.03162277660168379,0.0069519279617756054,0.001,-0.01688665571688186
284,0.03162277660168379,0.0069519279617756054,0.01,-0.01688665571688186
285,0.03162277660168379,0.0069519279617756054,0.05,-0.01688665571688186
286,0.03162277660168379,0.0069519279617756054,0.1,-0.01688665571688186
287,0.03162277660168379,0.0069519279617756054,0.2,-0.01688665571688186
288,0.03162277660168379,0.0069519279617756054,0.5,-0.01688665571688186
289,0.03162277660168379,0.012742749857031334,0.001,-0.01498808224311965
290,0.03162277660168379,0.012742749857031334,0.01,-0.01498808224311965
291,0.03162277660168379,0.012742749857031334,0.05,-0.01498808224311965
292,0.03162277660168379,0.012742749857031334,0.1,-0.01498808224311965
293,0.03162277660168379,0.012742749857031334,0.2,-0.01498808224311965
294,0.03162277660168379,0.012742749857031334,0.5,-0.014988082243119427
295,0.03162277660168379,0.023357214690901212,0.001,-0.013280031553219551
296,0.03162277660168379,0.023357214690901212,0.01,-0.013280031553219551
297,0.03162277660168379,0.023357214690901212,0.05,-0.013280031553219551
298,0.03162277660168379,0.023357214690901212,0.1,-0.013280031553219551
