Hyperparameters,max_depth,min_samples_split,min_samples_leaf,R2
232,13.0,2,4,0.7285194489354982
233,13.0,2,5,0.7173363307535551
234,13.0,2,6,0.7162264646247372
235,13.0,2,7,0.7252019811601549
236,13.0,2,8,0.7328530781347401
237,13.0,2,9,0.723820985131968
238,13.0,2,10,0.7363986803217153
239,13.0,2,11,0.7353663444944595
240,13.0,2,12,0.7404395958333897
241,13.0,2,13,0.7497910588292626
242,13.0,2,14,0.766056695718002
243,13.0,2,15,0.7656955540583824
244,13.0,2,16,0.7659391627692749
245,13.0,2,17,0.7666646408694286
246,13.0,2,18,0.7636684902925324
247,13.0,2,19,0.7624107455354742
248,14.0,2,1,0.6896530958185275
249,14.0,2,2,0.6988319966184147
250,14.0,2,3,0.7136724113811803
251,14.0,2,4,0.7292740103908111
252,14.0,2,5,0.7190630018662587
253,14.0,2,6,0.710418404272659
254,14.0,2,7,0.7263330387259195
255,14.0,2,8,0.7302372122620873
256,14.0,2,9,0.7259430184220232
257,14.0,2,10,0.7354596692926169
258,14.0,2,11,0.7332426734025703
259,14.0,2,12,0.7391939283959801
260,14.0,2,13,0.7477142782145136
261,14.0,2,14,0.7656714913559559
262,14.0,2,15,0.7649352291350318
263,14.0,2,16,0.7659391627692749
264,14.0,2,17,0.7666646408694286
265,14.0,2,18,0.7636684902925324
266,14.0,2,19,0.7624107455354742
267,15.0,2,1,0.6770049253237548
268,15.0,2,2,0.7002961991052066
269,15.0,2,3,0.7137633824047169
270,15.0,2,4,0.7279619039937877
271,15.0,2,5,0.7209190164766089
272,15.0,2,6,0.7108453481974212
273,15.0,2,7,0.7244698026919594
274,15.0,2,8,0.7322402267098438
275,15.0,2,9,0.7252089124273435
276,15.0,2,10,0.7330048489129377
277,15.0,2,11,0.7343171056972143
278,15.0,2,12,0.7384927394905103
279,15.0,2,13,0.7477142782145136
280,15.0,2,14,0.7656714913559559
281,15.0,2,15,0.7649352291350318
282,15.0,2,16,0.7659391627692749
283,15.0,2,17,0.7666646408694286
284,15.0,2,18,0.7636684902925324
285,15.0,2,19,0.7624107455354742
286,16.0,2,1,0.6787370995602798
287,16.0,2,2,0.6993840004205713
288,16.0,2,3,0.714904724290426
289,16.0,2,4,0.7301972585407916
290,16.0,2,5,0.7207790988038227
291,16.0,2,6,0.7108555704295381
292,16.0,2,7,0.7259035011618347
293,16.0,2,8,0.7316480518724855
294,16.0,2,9,0.7201832187067023
295,16.0,2,10,0.7336274738987103
296,16.0,2,11,0.7342959604534303
297,16.0,2,12,0.7384927394905103
298,16.0,2,13,0.7477142782145136
299,16.0,2,14,0.7656714913559559
300,16.0,2,15,0.7649352291350318
301,16.0,2,16,0.7659391627692749
302,16.0,2,17,0.7666646408694286
303,16.0,2,18,0.7636684902925324
304,16.0,2,19,0.7624107455354742
305,17.0,2,1,0.6491236745618362
306,17.0,2,2,0.7056742195428076
307,17.0,2,3,0.7150980205464861
308,17.0,2,4,0.7299700592409073
309,17.0,2,5,0.7183879654423039
310,17.0,2,6,0.7106821803442752
311,17.0,2,7,0.7245742329558083
312,17.0,2,8,0.7291935864461698
313,17.0,2,9,0.7203407930913895
314,17.0,2,10,0.7336274738987103
315,17.0,2,11,0.7342959604534303
316,17.0,2,12,0.7384927394905103
317,17.0,2,13,0.7477142782145136
318,17.0,2,14,0.7656714913559559
319,17.0,2,15,0.7649352291350318
320,17.0,2,16,0.7659391627692749
321,17.0,2,17,0.7666646408694286
322,17.0,2,18,0.7636684902925324
323,17.0,2,19,0.7624107455354742
324,18.0,2,1,0.6680052708810404
325,18.0,2,2,0.7007990957838652
326,18.0,2,3,0.718786866401357
327,18.0,2,4,0.7276275068533793
328,18.0,2,5,0.7209670187612527
329,18.0,2,6,0.710992810775742
330,18.0,2,7,0.725983656387594
331,18.0,2,8,0.7291935864461698
332,18.0,2,9,0.7203407930913895
333,18.0,2,10,0.7336274738987103
334,18.0,2,11,0.7342959604534303
335,18.0,2,12,0.7384927394905103
336,18.0,2,13,0.7477142782145136
337,18.0,2,14,0.7656714913559559
338,18.0,2,15,0.7649352291350318
339,18.0,2,16,0.7659391627692749
340,18.0,2,17,0.7666646408694286
341,18.0,2,18,0.7636684902925324
342,18.0,2,19,0.7624107455354742
343,19.0,2,1,0.6683055080293989
344,19.0,2,2,0.6989073027176702
345,19.0,2,3,0.71141803071912
346,19.0,2,4,0.7311181748148986
347,19.0,2,5,0.7178156903024249
348,19.0,2,6,0.7113156148673488
349,19.0,2,7,0.725983656387594
350,19.0,2,8,0.7291935864461698
351,19.0,2,9,0.7203407930913895
352,19.0,2,10,0.7336274738987103
353,19.0,2,11,0.7342959604534303
354,19.0,2,12,0.7384927394905103
355,19.0,2,13,0.7477142782145136
356,19.0,2,14,0.7656714913559559
357,19.0,2,15,0.7649352291350318
358,19.0,2,16,0.7659391627692749
359,19.0,2,17,0.7666646408694286
360,19.0,2,18,0.7636684902925324
361,19.0,2,19,0.7624107455354742
362,,2,1,0.6546410825042472
363,,2,2,0.684862575803539
364,,2,3,0.711510122222099
365,,2,4,0.7272670956699885
366,,2,5,0.7178156903024249
367,,2,6,0.7113156148673488
368,,2,7,0.725983656387594
369,,2,8,0.7291935864461698
370,,2,9,0.7203407930913895
371,,2,10,0.7336274738987103
372,,2,11,0.7342959604534303
373,,2,12,0.7384927394905103
374,,2,13,0.7477142782145136
375,,2,14,0.7656714913559559
376,,2,15,0.7649352291350318
377,,2,16,0.7659391627692749
378,,2,17,0.7666646408694286
379,,2,18,0.7636684902925324
380,,2,19,0.7624107455354742
